46,"ily (i love you baby) (feat. Emilee)",Surf Mesa,1668040,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
47,"The Woo (feat. 50 Cent & Roddy Ricch)",Pop Smoke,1612552,https://open.spotify.com/track/1H7KnK26kc1YyellpbINEn
48,"Kings & Queens",Ava Max,1550642,https://open.spotify.com/track/76nqCfJOcFFWBJN32PAksn
49,"Mamichula - con Nicki Nicole",Trueno,1524987,https://open.spotify.com/track/4pXW6ZAHBz7ODXTRKklWrM
50,"Ayer Me Llamó Mi Ex (feat. Lenny Santos)",KHEA,1518282,https://open.spotify.com/track/6C6mUonH6MNdSg5pw7kOc9
51,"Party Girl",StaySolidRocky,1515754,https://open.spotify.com/track/3IJYUaN3tx04S4TYyZHKoP
52,"Stuck with U (with Justin Bieber)",Ariana Grande,1480793,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
53,"Toosie Slide",Drake,1475344,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
54,"The Box",Roddy Ricch,1386267,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
55,"Take You Dancing",Jason Derulo,1361267,https://open.spotify.com/track/59qrUpoplZxbIZxk6X0Bm3
56,Tusa,KAROL G,1358179,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
57,Circles,Post Malone,1352367,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
58,"Adore You",Harry Styles,1317271,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
59,"Still Don't Know My Name",Labrinth,1298449,https://open.spotify.com/track/6N22FZs2ZhPBYi3b9XPajV
60,goosebumps,Travis Scott,1291147,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
61,"Mi Cuarto",Jerry Di,1281898,https://open.spotify.com/track/6fmQjRuo7XvRFCK2qex5hQ
62,"Blastoff (feat. Juice Wrld & Trippie Redd)",Internet Money,1270300,https://open.spotify.com/track/2rFsFjq0D9JAmc0APpCO6P
63,Señorita,Shawn Mendes,1261055,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
64,"Lucid Dreams",Juice WRLD,1232593,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
65,"THE BADDEST",K/DA,1223129,https://open.spotify.com/track/2V4Fx72svQRxrFvNT1eq5f
66,"Sunflower - Spider-Man: Into the Spider-Verse",Post Malone,1218774,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
67,"TKN (feat. Travis Scott)",ROSALÍA,1210753,https://open.spotify.com/track/4w47S36wQGBhGg073q3nt7
68,Memories,Maroon 5,1206641,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
69,Falling,Trevor Daniel,1197423,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
70,"Hasta Que Dios Diga",Anuel AA,1193718,https://open.spotify.com/track/06s3QtMJVXw1AJX3UfvZG1
71,"Electric Love",BØRNS,1193077,https://open.spotify.com/track/2GiJYvgVaD2HtM8GqD9EgQ
72,"Intentions (feat. Quavo)",Justin Bieber,1192606,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
73,"Lean (feat. Towy Osquel Beltito & Sammy & Falsetto)",Super Yei,1176110,https://open.spotify.com/track/5DoLhdU27owX1NMrKLUbUl
74,cardigan,Taylor Swift,1166450,https://open.spotify.com/track/4R2kfaDFhslZEMJqAFNpdd
75,"bad guy",Billie Eilish,1164839,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
76,Robbery,Juice WRLD,1158627,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
77,"my future",Billie Eilish,1158128,https://open.spotify.com/track/2ygvZOXrIeVL4xZmAWJT2C
78,"Oh Juliana",Niack,1155046,https://open.spotify.com/track/4xWzZmX4K1yyrdtRfbUvjt
79,"HIGHEST IN THE ROOM",Travis Scott,1146579,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
80,"POPSTAR (feat. Drake)",DJ Khaled,1144168,https://open.spotify.com/track/6EDO9iiTtwNv6waLwa1UUq
81,"In Your Eyes",The Weeknd,1121342,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
82,"PORFA Remix ( Feat. Maluma Nicky Jam Sech) - Remix",Feid,1107246,https://open.spotify.com/track/7lUdbnz7wsv3C9zzf4WHl9
83,"Ride It",Regard,1093967,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
84,Favorito,Camilo,1092809,https://open.spotify.com/track/0jT8Nl0shPS8115is0wD2Q
85,Azul,J Balvin,1088431,https://open.spotify.com/track/2lCkncy6bIB0LTMT7kvrD1
86,"Be Kind (with Halsey)",Marshmello,1081711,https://open.spotify.com/track/3Z8FwOEN59mRMxDCtb8N0A
87,Secrets,Regard,1078054,https://open.spotify.com/track/66W1rVTnEv86dIkFhoiElg
88,"SICKO MODE",Travis Scott,1067212,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
89,"Stunnin' (feat. Harm Franklin)",Curtis Waters,1065184,https://open.spotify.com/track/2D0dj3hVkRQJCp63cxCPEx
90,"Elegí (feat. Dímelo Flow)",Rauw Alejandro,1062677,https://open.spotify.com/track/50ZC4PM7hywH27RcCfViau
91,ROXANNE,Arizona Zervas,1051862,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
92,Dior,Pop Smoke,1050096,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
93,Shallow,Lady Gaga,1042300,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
94,"The Plan - From the Motion Picture ""TENET""",Travis Scott,1033740,https://open.spotify.com/track/551xyaSJsg8hILXFq9JdST
95,"Say So",Doja Cat,1028512,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
96,"Life Is Good (feat. Drake)",Future,1027056,https://open.spotify.com/track/1K5KBOgreBi5fkEHvg5ap3
97,"my ex's best friend (with blackbear)",Machine Gun Kelly,1020062,https://open.spotify.com/track/70rFIfYN7lU6iTgUIVP42w
98,"THE SCOTTS",THE SCOTTS,1009987,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk
99,"lovely (with Khalid)",Billie Eilish,1002543,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
100,Supalonely,BENEE,997753,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
101,Rojo,J Balvin,980393,https://open.spotify.com/track/380HmhwTE2NJgawn1NwkXi
102,"Sunday Best",Surfaces,980040,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
103,"Be Like That - feat. Swae Lee & Khalid",Kane Brown,955292,https://open.spotify.com/track/5f1joOtoMeyppIcJGZQvqJ
